ccdc_id,smi,rename_id,Spin-state behaviour,Spin-state of crystal structure
QAHPIY01,c1c[n+](oc1)[Fe]([n+]2ccco2)([n+]3ccco3)([n+]4ccco4)([n+]5ccco5)[n+]6ccco6,comp_45,spin-crossover,mixture
FEISXC01,c1c[n+](oc1)[Fe]([n+]2ccco2)([n+]3ccco3)([n+]4ccco4)([n+]5ccco5)[n+]6ccco6,comp_45,spin-crossover,high-spin
FEKYEA,c1ccc2c(c1)[nH]c-3[n+]2[Fe]456(n7c8ccccc8nc7-c9[n+]4c3ccc9)n1c2ccccc2nc1-c1[n+]5c(ccc1)-c1[n+]6c2ccccc2[nH]1,comp_46,spin-crossover,low-spin
FENFOW,c1cc2ccc3ccc4[n+]5c3c2[n+](c1)[Fe]567([n+]8cccc9c8c1[n+]6c(ccc1cc9)N=[N+]7c1ccc(cc1)Cl)[N+](=N4)c1ccc(cc1)Cl,comp_47,low-spin,low-spin
FETPYR,c1cc[n+](cc1)[Fe](N=C=S)(N=C=S)([n+]2ccccc2)([n+]3ccccc3)[n+]4ccccc4,comp_48,high-spin,high-spin
FIJTIC,CCn1cc[n+]2c1N=[N+]([Fe]23([n+]4ccn(c4N=[N+]3c5ccc(cc5)C)CC)(N=C=S)N=C=S)c6ccc(cc6)C,comp_49,high-spin,high-spin
FIWXEP,[B-]12(n3ccc([n+]3[Fe]45([n+]6n1ccc6C)([n+]7n2ccc7C)[n+]8c(ccn8[B-](n9[n+]4c(cc9)C)(n1[n+]5c(cc1)C)c1ccc(cc1)C#Cc1ccccc1)C)C)c1ccc(cc1)C#Cc1ccccc1,comp_50,spin-crossover,high-spin
FIWXIT,[B-]12(n3ccc([n+]3[Fe]45([n+]6n1ccc6C)([n+]7n2ccc7C)[n+]8c(ccn8[B-](n9[n+]4c(cc9)C)(n1[n+]5c(cc1)C)c1ccc(cc1)C#C[Si](C)(C)C)C)C)c1ccc(cc1)C#C[Si](C)(C)C,comp_51,spin-crossover,high-spin
FIWXOZ02,[B-]12(n3ccc([n+]3[Fe]45([n+]6n1ccc6C)([n+]7n2ccc7C)[n+]8c(ccn8[B-](n9[n+]4c(cc9)C)(n1[n+]5c(cc1)C)c1ccc(cc1)C#C)C)C)c1ccc(cc1)C#C,comp_52,spin-crossover,high-spin
FIWXOZ,[B-]12(n3ccc([n+]3[Fe]45([n+]6n1ccc6C)([n+]7n2ccc7C)[n+]8c(ccn8[B-](n9[n+]4c(cc9)C)(n1[n+]5c(cc1)C)c1ccc(cc1)C#C)C)C)c1ccc(cc1)C#C,comp_52,spin-crossover,low-spin
FIWXOZ01,[B-]12(n3ccc([n+]3[Fe]45([n+]6n1ccc6C)([n+]7n2ccc7C)[n+]8c(ccn8[B-](n9[n+]4c(cc9)C)(n1[n+]5c(cc1)C)c1ccc(cc1)C#C)C)C)c1ccc(cc1)C#C,comp_52,spin-crossover,mixture
FOSBOG,c1ccc2cc(ccc2c1)c3cc-4[n+]([nH]3)[Fe]567([n+]8c4cccc8-c9[n+]5[nH]c(c9)c1ccc2ccccc2c1)[n+]1c(cccc1-c1[n+]6[nH]c(c1)c1ccc2ccccc2c1)-c1[n+]7[nH]c(c1)c1ccc2ccccc2c1,comp_53,high-spin,high-spin
FOSCAT,c1ccc2cc(ccc2c1)c3cc-4[n+]([nH]3)[Fe]567([n+]8c4cccc8-c9[n+]5[nH]c(c9)c1ccc2ccccc2c1)[n+]1c(cccc1-c1[n+]6[nH]c(c1)c1ccc2ccccc2c1)-c1[n+]7[nH]c(c1)c1ccc2ccccc2c1,comp_53,spin-crossover,mixture
FOSCEX,c1ccc2cc(ccc2c1)c3cc-4[n+]([nH]3)[Fe]567([n+]8c4cccc8-c9[n+]5[nH]c(c9)c1ccc2ccccc2c1)[n+]1c(cccc1-c1[n+]6[nH]c(c1)c1ccc2ccccc2c1)-c1[n+]7[nH]c(c1)c1ccc2ccccc2c1,comp_53,spin-crossover,high-spin
FOSCEX01,c1ccc2cc(ccc2c1)c3cc-4[n+]([nH]3)[Fe]567([n+]8c4cccc8-c9[n+]5[nH]c(c9)c1ccc2ccccc2c1)[n+]1c(cccc1-c1[n+]6[nH]c(c1)c1ccc2ccccc2c1)-c1[n+]7[nH]c(c1)c1ccc2ccccc2c1,comp_53,spin-crossover,mixture
FOSCOH,c1ccc2cc(ccc2c1)c3cc-4[n+]([nH]3)[Fe]567([n+]8c4cccc8-c9[n+]5[nH]c(c9)c1ccc2ccccc2c1)[n+]1c(cccc1-c1[n+]6[nH]c(c1)c1ccc2ccccc2c1)-c1[n+]7[nH]c(c1)c1ccc2ccccc2c1,comp_53,spin-crossover,mixture
FOYYAU,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)CSC#N)[n+]8cccn8-c9[n+]4c(cc(c9)CSC#N)-n1[n+]5ccc1,comp_54,high-spin,high-spin
FOYYAU06,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)CSC#N)[n+]8cccn8-c9[n+]4c(cc(c9)CSC#N)-n1[n+]5ccc1,comp_54,spin-crossover,high-spin
FOYYAU02,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)CSC#N)[n+]8cccn8-c9[n+]4c(cc(c9)CSC#N)-n1[n+]5ccc1,comp_54,spin-crossover,low-spin
GAKKOS03,C1CSC2=[N+]1[Fe]3([N+]4=C2SCC4)([N+]5=C(C6=[N+]3CCS6)SCC5)(N=C=S)N=C=S,comp_55,spin-crossover,high-spin
GAKKOS05,C1CSC2=[N+]1[Fe]3([N+]4=C2SCC4)([N+]5=C(C6=[N+]3CCS6)SCC5)(N=C=S)N=C=S,comp_55,spin-crossover,low-spin
GAKKOS04,C1CSC2=[N+]1[Fe]3([N+]4=C2SCC4)([N+]5=C(C6=[N+]3CCS6)SCC5)(N=C=S)N=C=S,comp_55,high-spin,high-spin
GAPSUM,c1ccc(cc1)c2ccn-3[n+]2[Fe]456([n+]7c(ccn7-c8[n+]4c3ccc8)c9ccccc9)[n+]1c(ccn1-c1[n+]5c(ccc1)-n1[n+]6c(cc1)c1ccccc1)c1ccccc1,comp_56,high-spin,high-spin
GAPSUM01,c1ccc(cc1)c2ccn-3[n+]2[Fe]456([n+]7c(ccn7-c8[n+]4c3ccc8)c9ccccc9)[n+]1c(ccn1-c1[n+]5c(ccc1)-n1[n+]6c(cc1)c1ccccc1)c1ccccc1,comp_56,high-spin,high-spin
GAPTAT,CC(C)c1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2ccc7)C(C)C)[n+]8c(ccn8-c9[n+]4c(ccc9)-n1[n+]5c(cc1)C(C)C)C(C)C,comp_57,high-spin,high-spin
GAPTEX,CCOC(=O)c1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2ccc7)C(=O)OCC)[n+]8c(ccn8-c9[n+]4c(ccc9)-n1[n+]5c(cc1)C(=O)OCC)C(=O)OCC,comp_58,high-spin,high-spin
GAPTIB,c1cc-2[n+]3c(c1)-n4ccc([n+]4[Fe]356([n+]7n2ccc7CO)[n+]8c(ccn8-c9[n+]5c(ccc9)-n1[n+]6c(cc1)CO)CO)CO,comp_59,high-spin,high-spin
GAZQUT,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)n4cc5[n+](c4)[Fe]6789[n+]1cn(cc1C=[N+]6CCN(CC[N+]7=C5)CC[N+]8=Cc1[n+]9cn(c1)C(c1ccccc1)(c1ccccc1)c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1,comp_60,high-spin,high-spin
NEMSAZ,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,high-spin
NEMSED,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,high-spin
UJEDOC01,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,high-spin
UJEDOC,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,low-spin
ILACON,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,low-spin
LAQYIM,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,mixture
HECCOJ01,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,high-spin
HECCOJ,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,low-spin
NERDIA01,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,high-spin
NERDIA,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,low-spin
SOJKUY,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,high-spin,high-spin
VEVQOE,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,mixture
GIVZIV,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,high-spin,high-spin
GIVZAN,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,low-spin
GIVZER,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,mixture
HOMXIT,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,high-spin
HOMXIT01,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,mixture
HOMXIT02,c1cc-2[n+]3c(c1)-c4cc[nH][n+]4[Fe]356([n+]7c(cccc7-c8[n+]5[nH]cc8)-c9[n+]6[nH]cc9)[n+]1c2cc[nH]1,comp_61,spin-crossover,low-spin
GOGDUB,c1cc[n+]2c(c1)Nc3ccc4ccc5ccc[n+]6c5c4[n+]3[Fe]2678[n+]9ccccc9Nc1[n+]7c2c(ccc3c2[n+]8ccc3)cc1,comp_62,low-spin,low-spin
HAPDOU,COc1ccc2c-3c1-c4c(ccc5c4-c6c(cc7ccc8ccc[n+]9c8c7[n+]6[Fe]91([n+]4cccc6c4c4[n+]1c3c(cc4cc6)CC2)(N=C=S)N=C=S)CC5)OC,comp_63,high-spin,high-spin
HAXHIY,c1ccc(cc1)C[N@+]23CC[N+]45[Fe]2([n+]6ccccc6C3)([n+]7ccccc7C4)([n+]8ccccc8C5)[N+]#C[N-]C#N,comp_64,low-spin,low-spin
HECBUO,c1ccc(c(c1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c3cccc7-c8[n+]4[nH]c(c8)c9ccccc9O)[n+]1c(cccc1-c1[n+]5[nH]c(c1)c1ccccc1O)-c1[n+]6[nH]c(c1)c1ccccc1O)O,comp_65,high-spin,high-spin
HECCEZ,c1ccc(c(c1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c3cccc7-c8[n+]4[nH]c(c8)c9ccccc9O)[n+]1c(cccc1-c1[n+]5[nH]c(c1)c1ccccc1O)-c1[n+]6[nH]c(c1)c1ccccc1O)O,comp_65,high-spin,high-spin
HECCID,c1ccc(c(c1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c3cccc7-c8[n+]4[nH]c(c8)c9ccccc9O)[n+]1c(cccc1-c1[n+]5[nH]c(c1)c1ccccc1O)-c1[n+]6[nH]c(c1)c1ccccc1O)O,comp_65,high-spin,high-spin
ITINOP,c1ccc(c(c1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c3cccc7-c8[n+]4[nH]c(c8)c9ccccc9O)[n+]1c(cccc1-c1[n+]5[nH]c(c1)c1ccccc1O)-c1[n+]6[nH]c(c1)c1ccccc1O)O,comp_65,spin-crossover,high-spin
ITINOP03,c1ccc(c(c1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c3cccc7-c8[n+]4[nH]c(c8)c9ccccc9O)[n+]1c(cccc1-c1[n+]5[nH]c(c1)c1ccccc1O)-c1[n+]6[nH]c(c1)c1ccccc1O)O,comp_65,spin-crossover,low-spin
VISCAD,c1ccc(c(c1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c3cccc7-c8[n+]4[nH]c(c8)c9ccccc9O)[n+]1c(cccc1-c1[n+]5[nH]c(c1)c1ccccc1O)-c1[n+]6[nH]c(c1)c1ccccc1O)O,comp_65,spin-crossover,high-spin
HIXDOK01,c1ccc(cc1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c8ccccc8[nH]c7-c9[n+]4c3ccc9)[n+]1c2ccccc2[nH]c1-c1[n+]5c(ccc1)-c1[n+]6[nH]c(c1)c1ccccc1,comp_66,spin-crossover,high-spin
HIXDOK,c1ccc(cc1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c8ccccc8[nH]c7-c9[n+]4c3ccc9)[n+]1c2ccccc2[nH]c1-c1[n+]5c(ccc1)-c1[n+]6[nH]c(c1)c1ccccc1,comp_66,spin-crossover,low-spin
HIXFOK,CCCCCCOc1ccc2[n+](c1)[Fe]3456[n+]7cc(ccc7C=[N+]3CCN(CC[N+]4=C2)CC[N+]5=Cc8[n+]6cc(cc8)OCCCCCC)OCCCCCC,comp_67,low-spin,low-spin
HIXFUQ01,CCCCCCOc1ccc2[n+](c1C)[Fe]3456[n+]7c(c(ccc7C=[N+]3CCN(CC[N+]4=C2)CC[N+]5=Cc8[n+]6c(c(cc8)OCCCCCC)C)OCCCCCC)C,comp_68,spin-crossover,high-spin
HIXFUQ,CCCCCCOc1ccc2[n+](c1C)[Fe]3456[n+]7c(c(ccc7C=[N+]3CCN(CC[N+]4=C2)CC[N+]5=Cc8[n+]6c(c(cc8)OCCCCCC)C)OCCCCCC)C,comp_68,spin-crossover,low-spin
HMPBFE,[BH-]12n3c(cc([n+]3[Fe]45([n+]6n1c(cc6C)C)([n+]7n2c(cc7C)C)[n+]8c(cc(n8[BH-](n9[n+]4c(cc9C)C)n1[n+]5c(cc1C)C)C)C)C)C,comp_69,spin-crossover,high-spin
HOLSIN,C[N@+]12CC[N@+]3([Fe]1([n+]4c(ccc5c4cccc5)C2)([n+]6c(ccc7c6cccc7)C3)(N=C=S)N=C=S)C,comp_70,high-spin,high-spin
HOLTEK,[BH3-]C#[N+][Fe]123([n+]4ccccc4C[N@@+]1(CC[N@+]2(Cc5[n+]3cccc5)Cc6ccccc6)Cc7ccccc7)[N+]#C[BH3-],comp_71,spin-crossover,high-spin
HOLSOT,[BH3-]C#[N+][Fe]123([n+]4ccccc4C[N@@+]1(CC[N@+]2(Cc5[n+]3cccc5)Cc6ccccc6)Cc7ccccc7)[N+]#C[BH3-],comp_71,spin-crossover,low-spin
HOLSUZ,c1ccc(cc1)C[N@@+]23CC[N@@+]4([Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S)Cc7ccccc7,comp_72,spin-crossover,high-spin
HOLTUA,c1ccc(cc1)C[N@@+]23CC[N@@+]4([Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S)Cc7ccccc7,comp_72,high-spin,high-spin
HOLTAG,C[N@+]12CC[N@+]3([Fe]1([n+]4c(ccc5c4cccc5)C2)([n+]6c(ccc7c6cccc7)C3)(N=C=[Se])N=C=[Se])C,comp_73,high-spin,high-spin
HOLTOU,c1ccc(cc1)C[N@@+]23CC[N@@+]4([Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=[Se])N=C=[Se])Cc7ccccc7,comp_74,high-spin,high-spin
HOQFID,[B-]12(n3ccc([n+]3[Fe]45([n+]6n1ccc6C)([n+]7n2ccc7C)[n+]8c(ccn8[B-](n9[n+]4c(cc9)C)(n1[n+]5c(cc1)C)C(C)(C)C)C)C)C(C)(C)C,comp_75,spin-crossover,low-spin
HPZBFE,[BH-]12n3ccc[n+]3[Fe]45([n+]6n1ccc6)([n+]7n2ccc7)[n+]8cccn8[BH-](n9[n+]4ccc9)n1[n+]5ccc1,comp_76,spin-crossover,low-spin
IGEDUU,c1cc-2[n+]3c(c1)-n4cc(c[n+]4[Fe]356([n+]7n2cc(c7)I)[n+]8cc(cn8-c9[n+]5c(ccc9)-n1[n+]6cc(c1)I)I)I,comp_77,low-spin,low-spin
ILAWUP,c1ccc(c(c1)c2cc-3[n+]([nH]2)[Fe]456([n+]7c8ccccc8[nH]c7-c9[n+]4c(ccc9)-c1[n+]5c2ccccc2[nH]1)[n+]1c3cccc1-c1[n+]6[nH]c(c1)c1ccccc1O)O,comp_78,high-spin,high-spin
IMAHIO01,Cc1cccc-2[n+]1[Fe]34([n+]5c2cccc5)([N+]6=C(C7=[N+]3CCCN7)NCCC6)[N+]8=C(C9=[N+]4CCCN9)NCCC8,comp_79,spin-crossover,high-spin
IMAHIO,Cc1cccc-2[n+]1[Fe]34([n+]5c2cccc5)([N+]6=C(C7=[N+]3CCCN7)NCCC6)[N+]8=C(C9=[N+]4CCCN9)NCCC8,comp_79,spin-crossover,low-spin
IQIJAT02,c1ccnc(c1)c2n[n+]3c(n2N)-c4cccc[n+]4[Fe]3567[NH2+]CCC[N+]5(CCC[NH2+]6)Cc8[n+]7cccc8,comp_80,spin-crossover,high-spin
IQIJAT,c1ccnc(c1)c2n[n+]3c(n2N)-c4cccc[n+]4[Fe]3567[NH2+]CCC[N+]5(CCC[NH2+]6)Cc8[n+]7cccc8,comp_80,spin-crossover,low-spin
JIQDAP,c1c[nH][n+]2c1C=[N+]3[Fe]2456[n+]7c(cc[nH]7)C=[N+]4CCN(CC3)CC[N+]5=Cc8[n+]6[nH]cc8,comp_81,high-spin,high-spin
ISULAJ,c1c[nH][n+]2c1C=[N+]3[Fe]2456[n+]7c(cc[nH]7)C=[N+]4CCN(CC3)CC[N+]5=Cc8[n+]6[nH]cc8,comp_81,high-spin,high-spin
JIQDET,c1c[nH][n+]2c1C=[N+]3[Fe]2456[n+]7c(cc[nH]7)C=[N+]4CCN(CC3)CC[N+]5=Cc8[n+]6[nH]cc8,comp_81,spin-crossover,high-spin
JIQDET04,c1c[nH][n+]2c1C=[N+]3[Fe]2456[n+]7c(cc[nH]7)C=[N+]4CCN(CC3)CC[N+]5=Cc8[n+]6[nH]cc8,comp_81,spin-crossover,low-spin
IYUFOX01,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)CO)[n+]8cccn8-c9[n+]4c(cc(c9)CO)-n1[n+]5ccc1,comp_82,spin-crossover,high-spin
IYUFOX,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)CO)[n+]8cccn8-c9[n+]4c(cc(c9)CO)-n1[n+]5ccc1,comp_82,spin-crossover,low-spin
NESVOX,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)CO)[n+]8cccn8-c9[n+]4c(cc(c9)CO)-n1[n+]5ccc1,comp_82,spin-crossover,high-spin
NESVOX02,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)CO)[n+]8cccn8-c9[n+]4c(cc(c9)CO)-n1[n+]5ccc1,comp_82,spin-crossover,low-spin
IZAFEW03,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCO8)C9=[N+]6CCO9)[N+]1=C2OCC1)CCO4,comp_83,spin-crossover,high-spin
IZAFEW,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCO8)C9=[N+]6CCO9)[N+]1=C2OCC1)CCO4,comp_83,spin-crossover,low-spin
IZAFIA,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCO8)C9=[N+]6CCO9)[N+]1=C2OCC1)CCO4,comp_83,spin-crossover,low-spin
IZAFOG01,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCO8)C9=[N+]6CCO9)[N+]1=C2OCC1)CCO4,comp_83,spin-crossover,high-spin
IZAFOG,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCO8)C9=[N+]6CCO9)[N+]1=C2OCC1)CCO4,comp_83,spin-crossover,low-spin
IZAGAT02,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCO8)C9=[N+]6CCO9)[N+]1=C2OCC1)CCO4,comp_83,spin-crossover,mixture
IZAGAT,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCO8)C9=[N+]6CCO9)[N+]1=C2OCC1)CCO4,comp_83,spin-crossover,low-spin
JAFBOI01,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2cnc7)C)[n+]8c(ccn8-c9[n+]4c(cnc9)-n1[n+]5c(cc1)C)C,comp_84,spin-crossover,high-spin
JAFBOI03,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2cnc7)C)[n+]8c(ccn8-c9[n+]4c(cnc9)-n1[n+]5c(cc1)C)C,comp_84,spin-crossover,low-spin
JAFBUO01,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2cnc7)C)[n+]8c(ccn8-c9[n+]4c(cnc9)-n1[n+]5c(cc1)C)C,comp_84,spin-crossover,high-spin
JAFBUO03,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2cnc7)C)[n+]8c(ccn8-c9[n+]4c(cnc9)-n1[n+]5c(cc1)C)C,comp_84,spin-crossover,low-spin
JANSAS,CCCn1c[n+](nn1)[Fe]([n+]2cn(nn2)CCC)([n+]3cn(nn3)CCC)([n+]4cn(nn4)CCC)([n+]5cn(nn5)CCC)[n+]6cn(nn6)CCC,comp_85,spin-crossover,high-spin
JANSAS06,CCCn1c[n+](nn1)[Fe]([n+]2cn(nn2)CCC)([n+]3cn(nn3)CCC)([n+]4cn(nn4)CCC)([n+]5cn(nn5)CCC)[n+]6cn(nn6)CCC,comp_85,spin-crossover,low-spin
JUVGUC,CCCn1c[n+](nn1)[Fe]([n+]2cn(nn2)CCC)([n+]3cn(nn3)CCC)([n+]4cn(nn4)CCC)([n+]5cn(nn5)CCC)[n+]6cn(nn6)CCC,comp_85,spin-crossover,high-spin
NEFVID,CCCn1c[n+](nn1)[Fe]([n+]2cn(nn2)CCC)([n+]3cn(nn3)CCC)([n+]4cn(nn4)CCC)([n+]5cn(nn5)CCC)[n+]6cn(nn6)CCC,comp_85,spin-crossover,high-spin
JAQQIB,c1cc[n+]2c(c1)C[N@@+]34[Fe]256([n+]7ccccc7C[N@+]5(CC[NH+]6CC3)CC4)N=C=S,comp_86,low-spin,low-spin
JAQVIG,c1cc[n+]2c(c1)-c3cccc-4[n+]3[Fe]256([n+]7ccccc7-c8[n+]5c(ccc8)-c9[n+]6c[nH]n9)[n+]1c4n[nH]c1,comp_87,spin-crossover,low-spin
JAQVOM,Cn1c[n+]2c(n1)-c3cccc-4[n+]3[Fe]256([n+]7c4cccc7)[n+]8ccccc8-c9[n+]5c(ccc9)-c1[n+]6cn(n1)C,comp_88,spin-crossover,low-spin
JAQVUS,Cc1[nH]nc-2[n+]1[Fe]345([n+]6ccccc6-c7[n+]3c2ccc7)[n+]8ccccc8-c9[n+]4c(ccc9)-c1[n+]5c([nH]n1)C,comp_89,spin-crossover,low-spin
JAQWAZ,Cc1n(nc-2[n+]1[Fe]345([n+]6ccccc6-c7[n+]3c2ccc7)[n+]8ccccc8-c9[n+]4c(ccc9)-c1[n+]5c(n(n1)C)C)C,comp_90,spin-crossover,low-spin
JOJQEE,c1ccc(cc1)c2cc([n+]3c(c2)-c4cccc-5[n+]4[Fe]367([n+]8c5cccc8)[n+]9ccccc9-c1[n+]6c(ccc1)-c1[n+]7c(cc(c1)c1ccccc1)c1ccccc1)c1ccccc1,comp_91,high-spin,high-spin
JUVHIR01,Cn1c[n+](nn1)[Fe]([n+]2cn(nn2)C)([n+]3cn(nn3)C)([n+]4cn(nn4)C)([n+]5cn(nn5)C)[n+]6cn(nn6)C,comp_92,spin-crossover,high-spin
JUVHIR03,Cn1c[n+](nn1)[Fe]([n+]2cn(nn2)C)([n+]3cn(nn3)C)([n+]4cn(nn4)C)([n+]5cn(nn5)C)[n+]6cn(nn6)C,comp_92,spin-crossover,mixture
JUVHEN,Cn1c[n+](nn1)[Fe]([n+]2cn(nn2)C)([n+]3cn(nn3)C)([n+]4cn(nn4)C)([n+]5cn(nn5)C)[n+]6cn(nn6)C,comp_92,spin-crossover,mixture
LAGJEK01,Cn1c[n+](nn1)[Fe]([n+]2cn(nn2)C)([n+]3cn(nn3)C)([n+]4cn(nn4)C)([n+]5cn(nn5)C)[n+]6cn(nn6)C,comp_92,spin-crossover,mixture
LAGJEK02,Cn1c[n+](nn1)[Fe]([n+]2cn(nn2)C)([n+]3cn(nn3)C)([n+]4cn(nn4)C)([n+]5cn(nn5)C)[n+]6cn(nn6)C,comp_92,spin-crossover,mixture
KABYER,Cc1ccc[n+]2c1-c3c(ccc[n+]3[Fe]245([n+]6cccc(c6-c7[n+]4cccc7C)C)[n+]8cccc(c8-c9[n+]5cccc9C)C)C,comp_93,spin-crossover,mixture
KALWUR,Cc1cc-2[n+]([nH]1)[Fe]345([n+]6c2cccc6-c7[n+]3[nH]c(c7)C)[n+]8c(cccc8-c9[n+]4[nH]c(c9)C)-c1[n+]5[nH]c(c1)C,comp_94,spin-crossover,mixture
KALXAY01,Cc1cc-2[n+]([nH]1)[Fe]345([n+]6c2cccc6-c7[n+]3[nH]c(c7)C)[n+]8c(cccc8-c9[n+]4[nH]c(c9)C)-c1[n+]5[nH]c(c1)C,comp_94,spin-crossover,high-spin
